name,height,age,season,team_name,team_id,injury_type,injury_beginning_date,injury_recovering_date
Lovre Bašić,190,27,2022/2023,HKK Široki TT Kabeli,6,Lesión de isquiotibiales,2023-01-19,2023-01-29
Lovre Bašić,190,27,2022/2023,HKK Široki TT Kabeli,6,Fractura de dedo,2022-11-11,2022-12-08
Lovre Bašić,190,27,2022/2023,HKK Široki TT Kabeli,6,Lesión de isquiotibiales,2023-04-05,2023-05-02
Lovre Bašić,190,27,2022/2023,HKK Široki TT Kabeli,6,Esguince de tobillo,2022-10-18,2022-10-25
Duje Brala,196,19,2022/2023,HKK Široki TT Kabeli,6,Fractura de dedo,2022-09-14,2022-10-20
Duje Brala,196,19,2022/2023,HKK Široki TT Kabeli,6,Rotura de fibras,2023-06-07,2023-06-24
Mislav Brzoja,198,28,2022/2023,HKK Široki TT Kabeli,6,Fractura de dedo,2023-01-21,2023-02-24
Mislav Brzoja,198,28,2022/2023,HKK Široki TT Kabeli,6,Esguince de tobillo,2022-11-21,2022-12-10
Mislav Brzoja,198,28,2022/2023,HKK Široki TT Kabeli,6,Lumbalgia,2022-12-20,2023-01-01
Ivan Galić,197,18,2022/2023,HKK Široki TT Kabeli,6,Lesión de isquiotibiales,2023-03-14,2023-03-26
Ivan Galić,197,18,2022/2023,HKK Široki TT Kabeli,6,Lesión de isquiotibiales,2023-01-14,2023-02-04
Ivan Galić,197,18,2022/2023,HKK Široki TT Kabeli,6,Esguince de tobillo,2023-04-24,2023-05-12
Ive Ivanov,200,36,2022/2023,HKK Široki TT Kabeli,6,Lesión de isquiotibiales,2022-10-11,2022-11-02
Ive Ivanov,200,36,2022/2023,HKK Široki TT Kabeli,6,Rotura de fibras,2023-03-05,2023-03-23
Ive Ivanov,200,36,2022/2023,HKK Široki TT Kabeli,6,Lesión de hombro,2022-12-26,2023-01-16
Ive Ivanov,200,36,2022/2023,HKK Široki TT Kabeli,6,Tendinitis rotuliana,2023-01-21,2023-02-06
Daishon Amir Knight,185,31,2022/2023,HKK Široki TT Kabeli,6,Lesión de cuádriceps,2023-03-09,2023-03-24
Daishon Amir Knight,185,31,2022/2023,HKK Široki TT Kabeli,6,Lesión de cuádriceps,2023-01-15,2023-01-31
Daishon Amir Knight,185,31,2022/2023,HKK Široki TT Kabeli,6,Lesión de isquiotibiales,2022-11-27,2022-12-26
Filip Kraljević,212,32,2022/2023,HKK Široki TT Kabeli,6,Fractura de dedo,2023-04-25,2023-05-20
Filip Kraljević,212,32,2022/2023,HKK Široki TT Kabeli,6,Lumbalgia,2023-06-13,2023-06-24
Filip Kraljević,212,32,2022/2023,HKK Široki TT Kabeli,6,Fractura de dedo,2022-09-29,2022-10-29
Filip Kraljević,212,32,2022/2023,HKK Široki TT Kabeli,6,Fractura de dedo,2023-02-09,2023-03-02
Nikola Lebo,200,19,2022/2023,HKK Široki TT Kabeli,6,Tendinitis rotuliana,2022-12-18,2023-01-03
Nikola Lebo,200,19,2022/2023,HKK Široki TT Kabeli,6,Lesión de hombro,2023-02-09,2023-03-24
Nikola Lebo,200,19,2022/2023,HKK Široki TT Kabeli,6,Fractura de dedo,2023-05-14,2023-06-23
Emmanuel Boyd Little,195,23,2022/2023,HKK Široki TT Kabeli,6,Contusión muscular,2023-01-14,2023-01-19
Emmanuel Boyd Little,195,23,2022/2023,HKK Široki TT Kabeli,6,Distensión muscular,2023-06-15,2023-06-23
Emmanuel Boyd Little,195,23,2022/2023,HKK Široki TT Kabeli,6,Rotura de fibras,2023-04-08,2023-04-26
Nikola Miletić,197,18,2022/2023,HKK Široki TT Kabeli,6,Lumbalgia,2022-12-22,2023-01-03
Nikola Miletić,197,18,2022/2023,HKK Široki TT Kabeli,6,Distensión muscular,2023-05-11,2023-05-24
Nikola Miletić,197,18,2022/2023,HKK Široki TT Kabeli,6,Lesión de isquiotibiales,2022-10-27,2022-11-07
Nikola Miletić,197,18,2022/2023,HKK Široki TT Kabeli,6,Distensión muscular,2022-11-21,2022-12-06
Dominik Vujanović,182,19,2022/2023,HKK Široki TT Kabeli,6,Lumbalgia,2022-10-03,2022-10-19
Dominik Vujanović,182,19,2022/2023,HKK Široki TT Kabeli,6,Lumbalgia,2023-04-28,2023-05-11
Dominik Vujanović,182,19,2022/2023,HKK Široki TT Kabeli,6,Rotura de fibras,2023-06-11,2023-06-29
Dominik Vujanović,182,19,2022/2023,HKK Široki TT Kabeli,6,Esguince de tobillo,2022-10-29,2022-11-15
Mile Čović,205,24,2022/2023,HKK Široki TT Kabeli,6,Rotura de fibras,2023-01-15,2023-02-10
Mile Čović,205,24,2022/2023,HKK Široki TT Kabeli,6,Lesión de cuádriceps,2023-04-11,2023-04-24
Mile Čović,205,24,2022/2023,HKK Široki TT Kabeli,6,Distensión muscular,2022-09-02,2022-09-14
Mile Čović,205,24,2022/2023,HKK Široki TT Kabeli,6,Tendinitis rotuliana,2022-12-01,2022-12-31
Josip Čović,203,21,2022/2023,HKK Široki TT Kabeli,6,Lesión de isquiotibiales,2023-01-31,2023-03-02
Josip Čović,203,21,2022/2023,HKK Široki TT Kabeli,6,Rotura de fibras,2022-12-11,2023-01-03
Josip Čović,203,21,2022/2023,HKK Široki TT Kabeli,6,Distensión muscular,2022-11-22,2022-12-02
Josip Čović,203,21,2022/2023,HKK Široki TT Kabeli,6,Rotura de fibras,2023-05-30,2023-06-25
Miha Cerkvenik,201,20,2022/2023,KK Krka,10,Lesión de hombro,2023-05-09,2023-06-03
Miha Cerkvenik,201,20,2022/2023,KK Krka,10,Esguince de tobillo,2023-03-05,2023-03-13
Martin Jančar Jarc,192,22,2022/2023,KK Krka,10,Fractura de dedo,2023-01-02,2023-01-23
Martin Jančar Jarc,192,22,2022/2023,KK Krka,10,Lesión de hombro,2022-10-11,2022-11-25
Martin Jančar Jarc,192,22,2022/2023,KK Krka,10,Lesión de isquiotibiales,2023-05-31,2023-06-25
Robert Jurković,208,20,2022/2023,KK Krka,10,Distensión muscular,2023-05-02,2023-05-17
Robert Jurković,208,20,2022/2023,KK Krka,10,Rotura de fibras,2023-01-14,2023-01-30
Jurij Macura,211,22,2022/2023,KK Krka,10,Lesión de hombro,2022-12-18,2023-01-15
Jurij Macura,211,22,2022/2023,KK Krka,10,Rotura de fibras,2023-02-07,2023-03-05
Jurij Macura,211,22,2022/2023,KK Krka,10,Lumbalgia,2023-03-11,2023-03-28
Jurij Macura,211,22,2022/2023,KK Krka,10,Contusión muscular,2022-11-01,2022-11-11
Radosav Spasojević,204,30,2022/2023,KK Krka,10,Fractura de dedo,2023-02-21,2023-03-15
Radosav Spasojević,204,30,2022/2023,KK Krka,10,Esguince de tobillo,2023-06-11,2023-06-27
Andrej Stavrov,196,21,2022/2023,KK Krka,10,Lesión de hombro,2022-09-04,2022-09-26
Andrej Stavrov,196,21,2022/2023,KK Krka,10,Lesión de isquiotibiales,2022-10-01,2022-10-31
Leon Stergar,193,22,2022/2023,KK Krka,10,Lesión de isquiotibiales,2023-02-17,2023-02-28
Leon Stergar,193,22,2022/2023,KK Krka,10,Lesión de isquiotibiales,2022-12-31,2023-01-26
Rok Stipčević,186,36,2022/2023,KK Krka,10,Contusión muscular,2023-06-04,2023-06-10
Rok Stipčević,186,36,2022/2023,KK Krka,10,Distensión muscular,2023-05-01,2023-05-15
Rok Stipčević,186,36,2022/2023,KK Krka,10,Fractura de dedo,2022-12-07,2023-01-11
Mate Vucić,203,24,2022/2023,KK Krka,10,Lesión de isquiotibiales,2023-03-01,2023-03-24
Mate Vucić,203,24,2022/2023,KK Krka,10,Lumbalgia,2023-04-28,2023-05-11
Branislav Vujadinović,196,25,2022/2023,KK Krka,10,Esguince de tobillo,2022-10-21,2022-11-07
Branislav Vujadinović,196,25,2022/2023,KK Krka,10,Esguince de tobillo,2023-02-21,2023-03-06
Branislav Vujadinović,196,25,2022/2023,KK Krka,10,Lesión de isquiotibiales,2022-12-08,2022-12-25
Branislav Vujadinović,196,25,2022/2023,KK Krka,10,Fractura de dedo,2023-04-18,2023-05-25
Miha Škedelj,201,23,2022/2023,KK Krka,10,Lumbalgia,2023-01-21,2023-01-30
